# Fix print output for fix print_data
# Argon - LJ potential
# 32 atoms, dens. -1g/cm^3
# NVE, dt = 4 fs, -1 timesteps, output_step = every 1 step
# Temperature = 70.0 K, V = 1242.990379008 A3
# LAMMPS real units
step time temp c_pe_total c_ke_total c_flux_thermal[1] c_flux_thermal[2] c_flux_thermal[3] c_flux_thermal[4] c_flux_thermal[5] c_flux_thermal[6]
18 32072 66.606308001775147432 -56.925876273808555084 6.1547633208376897329 -0.0024924993266258713316 0.010568283210206648459 0.002743832847622109522 0.0011405696078499415191 0.0018595494007151622783 0.00082387948014386609003
19 32076 65.733768930757946691 -56.845193060495212478 6.0741362506486114015 -0.002515924839513889507 0.010744983896241813021 0.0031720098391207151266 0.0010349198996010429939 0.0018359833823068912387 0.00077555663383990823892
20 32080 64.902605529104477 -56.768949803475805993 5.9973325038025455669 -0.0025716167833936096239 0.010893733145885202418 0.0035813130280257865837 0.00093293617450205179251 0.0018106410884986252983 0.0007245088537521839761
21 32084 64.12257434294549796 -56.696205914117768998 5.9252536350330462511 -0.002653858278902090917 0.011007862850299783911 0.0039675868804950505109 0.0008356080875425247155 0.0017832611624907402249 0.00067138269955195140418
22 32088 63.402795959128859238 -56.630263451091998661 5.8587424331851911674 -0.0027627838197354422783 0.011086200747452088985 0.0043279840685952518722 0.0007437081893028854758 0.0017554167529888376094 0.00061716083192690611436
23 32092 62.751497140496347527 -56.569734212926924499 5.7985590931970705242 -0.0028982797997033444767 0.01112201188371314195 0.0046625369890918172411 0.00065789484710982630913 0.0017275159768869704016 0.0005626994485592781009
24 32096 62.175886339276651427 -56.516818438523976909 5.7453697129009793088 -0.0030542127432261366102 0.01111345715867054218 0.0049677503801398032596 0.00057914416386438145185 0.0017012823576918172791 0.00050851406180362369175
25 32100 61.682008439731667693 -56.470849730976269143 5.69973287050144517 -0.0032282884137446398419 0.011055298776690227619 0.005242601408584063663 0.00050672063437432000171 0.0016754416205037366699 0.00045545157030254471847
26 32104 61.27460141799958393 -56.432571786584674101 5.6620863792120390556 -0.0034145769634999776146 0.01094828004928542417 0.0054889386028867184764 0.00044104553081078870513 0.0016523213749650936949 0.00040368972810422626071
27 32108 60.957031078702605953 -56.402295986250038595 5.632741256584330003 -0.0036053086876409981727 0.01078901816248999633 0.0057040518541502920752 0.00038419305046846720028 0.0016320976931273045718 0.00035360223961512478666
28 32112 60.731234175602189396 -56.382045614306484538 5.6118764685656916669 -0.003802923639912258319 0.010573001684838784914 0.0058899184075599251079 0.00033298286310068847191 0.0016130534111286690124 0.00030635977668724660716
